




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.12173881 Released 2024-06-17
Analyzed List:	upload_1 (Drosophila melanogaster)
Reference List:	Drosophila melanogaster (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Drosophila melanogaster - REFLIST (13821)	upload_1 (101)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
intracellular zinc ion homeostasis (GO:0006882)	12	1	.09	+	11.40	8.43E-02	1.00E00
imaginal disc-derived leg joint morphogenesis (GO:0016348)	12	1	.09	+	11.40	8.43E-02	1.00E00
branched-chain amino acid metabolic process (GO:0009081)	12	1	.09	+	11.40	8.43E-02	1.00E00
detection of temperature stimulus (GO:0016048)	12	1	.09	+	11.40	8.43E-02	1.00E00
detection of temperature stimulus involved in sensory perception (GO:0050961)	12	1	.09	+	11.40	8.43E-02	1.00E00
sensory perception of temperature stimulus (GO:0050951)	12	1	.09	+	11.40	8.43E-02	1.00E00
cellular response to ketone (GO:1901655)	12	1	.09	+	11.40	8.43E-02	1.00E00
detoxification of zinc ion (GO:0010312)	12	1	.09	+	11.40	8.43E-02	1.00E00
stress response to zinc ion (GO:1990359)	12	1	.09	+	11.40	8.43E-02	1.00E00
acylglycerol metabolic process (GO:0006639)	37	3	.27	+	11.10	2.46E-03	6.46E-01
neutral lipid metabolic process (GO:0006638)	37	3	.27	+	11.10	2.46E-03	6.23E-01
sensory perception of pain (GO:0019233)	13	1	.10	+	10.53	9.10E-02	1.00E00
detection of stimulus involved in sensory perception of pain (GO:0062149)	13	1	.10	+	10.53	9.10E-02	1.00E00
response to purine-containing compound (GO:0014074)	13	1	.10	+	10.53	9.10E-02	1.00E00
positive regulation of lipid storage (GO:0010884)	13	1	.10	+	10.53	9.10E-02	1.00E00
cellular modified amino acid catabolic process (GO:0042219)	13	1	.10	+	10.53	9.10E-02	1.00E00
steroid metabolic process (GO:0008202)	52	4	.38	+	10.53	5.56E-04	3.72E-01
eye pigment biosynthetic process (GO:0006726)	28	2	.20	+	9.77	1.77E-02	1.00E00
serine family amino acid metabolic process (GO:0009069)	14	1	.10	+	9.77	9.76E-02	1.00E00
sterol metabolic process (GO:0016125)	28	2	.20	+	9.77	1.77E-02	1.00E00
regulation of triglyceride metabolic process (GO:0090207)	14	1	.10	+	9.77	9.76E-02	1.00E00
regulation of lipid catabolic process (GO:0050994)	14	1	.10	+	9.77	9.76E-02	1.00E00
sulfur compound catabolic process (GO:0044273)	14	1	.10	+	9.77	9.76E-02	1.00E00
glucose 6-phosphate metabolic process (GO:0051156)	14	1	.10	+	9.77	9.76E-02	1.00E00
hexose metabolic process (GO:0019318)	72	5	.53	+	9.50	1.79E-04	2.20E-01
steroid biosynthetic process (GO:0006694)	29	2	.21	+	9.44	1.89E-02	1.00E00
amide biosynthetic process (GO:0043604)	45	3	.33	+	9.12	4.30E-03	7.36E-01
cholesterol homeostasis (GO:0042632)	15	1	.11	+	9.12	1.04E-01	1.00E00
zinc ion transmembrane transport (GO:0071577)	15	1	.11	+	9.12	1.04E-01	1.00E00
carbohydrate phosphorylation (GO:0046835)	15	1	.11	+	9.12	1.04E-01	1.00E00
stress response to metal ion (GO:0097501)	15	1	.11	+	9.12	1.04E-01	1.00E00
regulation of hormone metabolic process (GO:0032350)	15	1	.11	+	9.12	1.04E-01	1.00E00
negative regulation of lipid metabolic process (GO:0045833)	15	1	.11	+	9.12	1.04E-01	1.00E00
response to glucose (GO:0009749)	15	1	.11	+	9.12	1.04E-01	1.00E00
pigment metabolic process involved in developmental pigmentation (GO:0043324)	31	2	.23	+	8.83	2.14E-02	1.00E00
eye pigment metabolic process (GO:0042441)	31	2	.23	+	8.83	2.14E-02	1.00E00
pigment metabolic process involved in pigmentation (GO:0043474)	31	2	.23	+	8.83	2.14E-02	1.00E00
lipid transport (GO:0006869)	94	6	.69	+	8.73	6.35E-05	1.56E-01
phospholipid translocation (GO:0045332)	16	1	.12	+	8.55	1.11E-01	1.00E00
sterol homeostasis (GO:0055092)	16	1	.12	+	8.55	1.11E-01	1.00E00
copper ion homeostasis (GO:0055070)	16	1	.12	+	8.55	1.11E-01	1.00E00
fatty-acyl-CoA biosynthetic process (GO:0046949)	16	1	.12	+	8.55	1.11E-01	1.00E00
mechanosensory behavior (GO:0007638)	16	1	.12	+	8.55	1.11E-01	1.00E00
positive regulation of lipid localization (GO:1905954)	16	1	.12	+	8.55	1.11E-01	1.00E00
response to hexose (GO:0009746)	16	1	.12	+	8.55	1.11E-01	1.00E00
glucose metabolic process (GO:0006006)	49	3	.36	+	8.38	5.47E-03	7.89E-01
ecdysteroid metabolic process (GO:0045455)	33	2	.24	+	8.29	2.41E-02	1.00E00
hexose catabolic process (GO:0019320)	33	2	.24	+	8.29	2.41E-02	1.00E00
zinc ion transport (GO:0006829)	17	1	.12	+	8.05	1.17E-01	1.00E00
monosaccharide metabolic process (GO:0005996)	85	5	.62	+	8.05	3.90E-04	2.87E-01
cellular response to lipid (GO:0071396)	17	1	.12	+	8.05	1.17E-01	1.00E00
pupal development (GO:0035209)	17	1	.12	+	8.05	1.17E-01	1.00E00
thermosensory behavior (GO:0040040)	17	1	.12	+	8.05	1.17E-01	1.00E00
negative regulation of synaptic transmission (GO:0050805)	17	1	.12	+	8.05	1.17E-01	1.00E00
response to monosaccharide (GO:0034284)	17	1	.12	+	8.05	1.17E-01	1.00E00
lipid translocation (GO:0034204)	17	1	.12	+	8.05	1.17E-01	1.00E00
phototransduction (GO:0007602)	53	3	.39	+	7.75	6.81E-03	8.49E-01
terpenoid metabolic process (GO:0006721)	18	1	.13	+	7.60	1.24E-01	1.00E00
ecdysteroid biosynthetic process (GO:0045456)	18	1	.13	+	7.60	1.24E-01	1.00E00
cellular response to carbohydrate stimulus (GO:0071322)	18	1	.13	+	7.60	1.24E-01	1.00E00
monosaccharide catabolic process (GO:0046365)	36	2	.26	+	7.60	2.84E-02	1.00E00
regulation of membrane lipid distribution (GO:0097035)	18	1	.13	+	7.60	1.24E-01	1.00E00
lipid localization (GO:0010876)	111	6	.81	+	7.40	1.60E-04	2.35E-01
response to zinc ion (GO:0010043)	19	1	.14	+	7.20	1.30E-01	1.00E00
eye pigmentation (GO:0048069)	38	2	.28	+	7.20	3.13E-02	1.00E00
regulation of secondary metabolic process (GO:0043455)	19	1	.14	+	7.20	1.30E-01	1.00E00
detection of light stimulus (GO:0009583)	58	3	.42	+	7.08	8.74E-03	7.84E-01
xenobiotic metabolic process (GO:0006805)	20	1	.15	+	6.84	1.37E-01	1.00E00
response to insecticide (GO:0017085)	20	1	.15	+	6.84	1.37E-01	1.00E00
energy taxis (GO:0009453)	20	1	.15	+	6.84	1.37E-01	1.00E00
cellular response to xenobiotic stimulus (GO:0071466)	20	1	.15	+	6.84	1.37E-01	1.00E00
detoxification of inorganic compound (GO:0061687)	20	1	.15	+	6.84	1.37E-01	1.00E00
sterol biosynthetic process (GO:0016126)	20	1	.15	+	6.84	1.37E-01	1.00E00
phototaxis (GO:0042331)	20	1	.15	+	6.84	1.37E-01	1.00E00
positive regulation of receptor-mediated endocytosis (GO:0048260)	20	1	.15	+	6.84	1.37E-01	1.00E00
oligosaccharide biosynthetic process (GO:0009312)	21	1	.15	+	6.52	1.43E-01	1.00E00
L-amino acid transport (GO:0015807)	21	1	.15	+	6.52	1.43E-01	1.00E00
lipid storage (GO:0019915)	21	1	.15	+	6.52	1.43E-01	1.00E00
amino acid import across plasma membrane (GO:0089718)	21	1	.15	+	6.52	1.43E-01	1.00E00
regulation of synaptic transmission, cholinergic (GO:0032222)	21	1	.15	+	6.52	1.43E-01	1.00E00
positive regulation of lipid metabolic process (GO:0045834)	21	1	.15	+	6.52	1.43E-01	1.00E00
fatty acid derivative biosynthetic process (GO:1901570)	21	1	.15	+	6.52	1.43E-01	1.00E00
organophosphate catabolic process (GO:0046434)	65	3	.48	+	6.32	1.19E-02	9.97E-01
monoatomic anion transport (GO:0006820)	66	3	.48	+	6.22	1.24E-02	1.00E00
response to xenobiotic stimulus (GO:0009410)	22	1	.16	+	6.22	1.49E-01	1.00E00
aspartate family amino acid metabolic process (GO:0009066)	22	1	.16	+	6.22	1.49E-01	1.00E00
pyruvate metabolic process (GO:0006090)	44	2	.32	+	6.22	4.10E-02	1.00E00
polyol biosynthetic process (GO:0046173)	22	1	.16	+	6.22	1.49E-01	1.00E00
imaginal disc-derived leg segmentation (GO:0036011)	23	1	.17	+	5.95	1.55E-01	1.00E00
hormone biosynthetic process (GO:0042446)	23	1	.17	+	5.95	1.55E-01	1.00E00
appendage segmentation (GO:0035285)	23	1	.17	+	5.95	1.55E-01	1.00E00
regulation of nervous system process (GO:0031644)	23	1	.17	+	5.95	1.55E-01	1.00E00
pigment biosynthetic process (GO:0046148)	46	2	.34	+	5.95	4.44E-02	1.00E00
NADH regeneration (GO:0006735)	24	1	.18	+	5.70	1.62E-01	1.00E00
glucose catabolic process to pyruvate (GO:0061718)	24	1	.18	+	5.70	1.62E-01	1.00E00
canonical glycolysis (GO:0061621)	24	1	.18	+	5.70	1.62E-01	1.00E00
glucose homeostasis (GO:0042593)	49	2	.36	+	5.59	4.98E-02	1.00E00
sphingolipid biosynthetic process (GO:0030148)	49	2	.36	+	5.59	4.98E-02	1.00E00
regulation of lipid metabolic process (GO:0019216)	50	2	.37	+	5.47	5.16E-02	1.00E00
response to alkaloid (GO:0043279)	25	1	.18	+	5.47	1.68E-01	1.00E00
glycolytic process through glucose-6-phosphate (GO:0061620)	25	1	.18	+	5.47	1.68E-01	1.00E00
glycolytic process through fructose-6-phosphate (GO:0061615)	25	1	.18	+	5.47	1.68E-01	1.00E00
organic cation transport (GO:0015695)	25	1	.18	+	5.47	1.68E-01	1.00E00
glucose catabolic process (GO:0006007)	25	1	.18	+	5.47	1.68E-01	1.00E00
NAD catabolic process (GO:0019677)	25	1	.18	+	5.47	1.68E-01	1.00E00
acyl-CoA biosynthetic process (GO:0071616)	26	1	.19	+	5.26	1.74E-01	1.00E00
phospholipid transport (GO:0015914)	26	1	.19	+	5.26	1.74E-01	1.00E00
secondary alcohol metabolic process (GO:1902652)	26	1	.19	+	5.26	1.74E-01	1.00E00
thioester biosynthetic process (GO:0035384)	26	1	.19	+	5.26	1.74E-01	1.00E00
regulation of lipid biosynthetic process (GO:0046890)	26	1	.19	+	5.26	1.74E-01	1.00E00
gluconeogenesis (GO:0006094)	26	1	.19	+	5.26	1.74E-01	1.00E00
regulation of receptor-mediated endocytosis (GO:0048259)	26	1	.19	+	5.26	1.74E-01	1.00E00
long-chain fatty acid metabolic process (GO:0001676)	27	1	.20	+	5.07	1.80E-01	1.00E00
detection of abiotic stimulus (GO:0009582)	82	3	.60	+	5.01	2.21E-02	1.00E00
detection of external stimulus (GO:0009581)	82	3	.60	+	5.01	2.21E-02	1.00E00
cellular ketone metabolic process (GO:0042180)	55	2	.40	+	4.98	6.12E-02	1.00E00
oligosaccharide metabolic process (GO:0009311)	28	1	.20	+	4.89	1.86E-01	1.00E00
neuroblast fate commitment (GO:0014017)	28	1	.20	+	4.89	1.86E-01	1.00E00
cellular lipid catabolic process (GO:0044242)	84	3	.61	+	4.89	2.36E-02	1.00E00
carbohydrate homeostasis (GO:0033500)	57	2	.42	+	4.80	6.51E-02	1.00E00
import across plasma membrane (GO:0098739)	57	2	.42	+	4.80	6.51E-02	1.00E00
ADP catabolic process (GO:0046032)	29	1	.21	+	4.72	1.92E-01	1.00E00
neuropeptide signaling pathway (GO:0007218)	58	2	.42	+	4.72	6.71E-02	1.00E00
ribonucleoside diphosphate catabolic process (GO:0009191)	29	1	.21	+	4.72	1.92E-01	1.00E00
purine ribonucleoside diphosphate catabolic process (GO:0009181)	29	1	.21	+	4.72	1.92E-01	1.00E00
purine nucleoside diphosphate catabolic process (GO:0009137)	29	1	.21	+	4.72	1.92E-01	1.00E00
glycolytic process (GO:0006096)	29	1	.21	+	4.72	1.92E-01	1.00E00
regulation of lipid localization (GO:1905952)	29	1	.21	+	4.72	1.92E-01	1.00E00
hormone metabolic process (GO:0042445)	59	2	.43	+	4.64	6.92E-02	1.00E00
developmental pigmentation (GO:0048066)	60	2	.44	+	4.56	7.12E-02	1.00E00
nucleoside diphosphate catabolic process (GO:0009134)	30	1	.22	+	4.56	1.98E-01	1.00E00
detection of chemical stimulus involved in sensory perception of taste (GO:0050912)	30	1	.22	+	4.56	1.98E-01	1.00E00
pyridine-containing compound catabolic process (GO:0072526)	30	1	.22	+	4.56	1.98E-01	1.00E00
pyridine nucleotide catabolic process (GO:0019364)	30	1	.22	+	4.56	1.98E-01	1.00E00
hexose biosynthetic process (GO:0019319)	30	1	.22	+	4.56	1.98E-01	1.00E00
sphingolipid metabolic process (GO:0006665)	61	2	.45	+	4.49	7.33E-02	1.00E00
ADP metabolic process (GO:0046031)	31	1	.23	+	4.41	2.04E-01	1.00E00
purine ribonucleoside diphosphate metabolic process (GO:0009179)	31	1	.23	+	4.41	2.04E-01	1.00E00
purine nucleoside diphosphate metabolic process (GO:0009135)	31	1	.23	+	4.41	2.04E-01	1.00E00
inorganic ion import across plasma membrane (GO:0099587)	31	1	.23	+	4.41	2.04E-01	1.00E00
inorganic cation import across plasma membrane (GO:0098659)	31	1	.23	+	4.41	2.04E-01	1.00E00
regulation of hormone levels (GO:0010817)	96	3	.70	+	4.28	3.32E-02	1.00E00
carbohydrate catabolic process (GO:0016052)	64	2	.47	+	4.28	7.96E-02	1.00E00
ketone biosynthetic process (GO:0042181)	32	1	.23	+	4.28	2.09E-01	1.00E00
monosaccharide biosynthetic process (GO:0046364)	32	1	.23	+	4.28	2.09E-01	1.00E00
purine nucleoside bisphosphate biosynthetic process (GO:0034033)	33	1	.24	+	4.15	2.15E-01	1.00E00
ribonucleoside bisphosphate biosynthetic process (GO:0034030)	33	1	.24	+	4.15	2.15E-01	1.00E00
regulation of apoptotic signaling pathway (GO:2001233)	33	1	.24	+	4.15	2.15E-01	1.00E00
ribonucleoside diphosphate metabolic process (GO:0009185)	33	1	.24	+	4.15	2.15E-01	1.00E00
organic hydroxy compound biosynthetic process (GO:1901617)	66	2	.48	+	4.15	8.39E-02	1.00E00
nucleoside bisphosphate biosynthetic process (GO:0033866)	33	1	.24	+	4.15	2.15E-01	1.00E00
negative regulation of BMP signaling pathway (GO:0030514)	34	1	.25	+	4.02	2.21E-01	1.00E00
fatty-acyl-CoA metabolic process (GO:0035337)	34	1	.25	+	4.02	2.21E-01	1.00E00
NADH metabolic process (GO:0006734)	35	1	.26	+	3.91	2.27E-01	1.00E00
nucleoside diphosphate metabolic process (GO:0009132)	35	1	.26	+	3.91	2.27E-01	1.00E00
cellular response to organic cyclic compound (GO:0071407)	35	1	.26	+	3.91	2.27E-01	1.00E00
imaginal disc fusion, thorax closure (GO:0046529)	35	1	.26	+	3.91	2.27E-01	1.00E00
imaginal disc fusion (GO:0046528)	35	1	.26	+	3.91	2.27E-01	1.00E00
